Date,Open,High,Low,Close,Adj Close,Volume
2023/4/17,103.160004,103.730003,101.589996,102.739998,102.739998,39919500
2023/4/14,102.07,103.199997,101.110001,102.510002,102.510002,51388300
2023/4/13,98.949997,102.57,98.709999,102.400002,102.400002,67925100
2023/4/12,100.400002,100.510002,97.709999,97.830002,97.830002,56735000
2023/4/11,100.800003,101,99.010002,99.919998,99.919998,60417800
2023/4/10,100.959999,102.199997,99.57,102.169998,102.169998,37261200
2023/4/6,100.75,102.379997,99.800003,102.059998,102.059998,43808000
2023/4/5,103.910004,103.910004,100.75,101.099998,101.099998,45175400
2023/4/4,102.75,104.199997,102.110001,103.949997,103.949997,48662500
2023/4/3,102.300003,103.290001,101.43,102.410004,102.410004,41135700
2023/3/31,102.160004,103.489998,101.949997,103.290001,103.290001,56704300
2023/3/30,101.550003,103.040001,101.010002,102,102,53633400
2023/3/29,98.690002,100.419998,98.559998,100.25,100.25,49783300
2023/3/28,98.110001,98.440002,96.290001,97.239998,97.239998,38720100
2023/3/27,99.07,99.339996,97.080002,98.040001,98.040001,46721300
2023/3/24,98.07,98.300003,96.400002,98.129997,98.129997,56095400
2023/3/23,100.43,101.059998,97.620003,98.709999,98.709999,57559300
2023/3/22,100.449997,102.099998,98.610001,98.699997,98.699997,57475400
2023/3/21,98.139999,100.849998,98,100.610001,100.610001,58597300
2023/3/20,98.410004,98.480003,95.699997,97.709999,97.709999,62388900
2023/3/17,99.790001,100.660004,97.459999,98.949997,98.949997,87300200
2023/3/16,95.75,100.989998,95.610001,100.040001,100.040001,84446900
2023/3/15,93.220001,96.669998,93.07,96.199997,96.199997,70731800
2023/3/14,93.830002,95.07,92.709999,94.879997,94.879997,60912700
2023/3/13,89.970001,94.019997,88.120003,92.43,92.43,72397100
2023/3/10,92.669998,93.57,90.25,90.730003,90.730003,69827500
2023/3/9,93.68,96.209999,92.18,92.25,92.25,56218700
2023/3/8,93.599998,94.169998,92.18,93.919998,93.919998,44899100
2023/3/7,94.059998,95.089996,92.779999,93.550003,93.550003,49100700
2023/3/6,95.190002,96.550003,93.739998,93.75,93.75,52112400
2023/3/3,92.739998,94.940002,92.660004,94.900002,94.900002,55759600
2023/3/2,91.410004,92.230003,90.389999,92.129997,92.129997,55509400
2023/3/1,93.870003,94.68,91.589996,92.169998,92.169998,52299500
2023/2/28,93.139999,94.690002,92.919998,94.230003,94.230003,43959300
2023/2/27,94.279999,94.779999,93.139999,93.760002,93.760002,47470300
